school,suburb,state,postcode,score,schoolType,educationLevel
International Grammar School,ULTIMO,NSW,2007,98,Private,primary
International Grammar School,ULTIMO,NSW,2007,96,Private,secondary
Ultimo Public School,ULTIMO,NSW,2007,,Government,primary
Westbourne College Sydney,ULTIMO,NSW,2007,,Private,secondary
Darlington Public School,CHIPPENDALE,NSW,2008,,Government,primary
Australian Institute of Music,SURRY HILLS,NSW,2010,,Private,secondary
Sydney Grammar School,DARLINGHURST,NSW,2010,99,Private,secondary
SCEGGS Darlinghurst,DARLINGHURST,NSW,2010,98,Private,primary
SCEGGS Darlinghurst,DARLINGHURST,NSW,2010,98,Private,secondary
Crown Street Public School,SURRY HILLS,NSW,2010,97,Government,primary
Sydney Distance Education Primary School,SURRY HILLS,NSW,2010,97,Government,primary
Oasis College Surry Hills,SURRY HILLS,NSW,2010,,Private,secondary
Inner Sydney High School,SURRY HILLS,NSW,2010,94,Government,secondary
Bourke Street Public School,SURRY HILLS,NSW,2010,,Government,primary
Sydney Girls High School,SURRY HILLS,NSW,2010,100,Government,secondary
Darlinghurst Public School,POTTS POINT,NSW,2011,96,Government,primary
St Vincent's College,POTTS POINT,NSW,2011,94,Private,secondary
Sydney Distance Education High School,WOOLLOOMOOLOO,NSW,2011,,Government,secondary
Plunkett Street Public School,WOOLLOOMOOLOO,NSW,2011,,Government,primary
Alexandria Park Community School,ALEXANDRIA,NSW,2015,,Government,secondary
Alexandria Park Community School,ALEXANDRIA,NSW,2015,,Government,primary
Central Sydney Intensive English High School,ALEXANDRIA,NSW,2015,,Government,secondary
Redfern Jarjum College,REDFERN,NSW,2016,,Private,primary
"SEDA College NSW, 107 Projects",REDFERN,NSW,2016,,Private,secondary
"SEDA College NSW, Redfern",REDFERN,NSW,2016,,Private,secondary
Key College,REDFERN,NSW,2016,,Private,secondary
Yudi Gunyi School,WATERLOO,NSW,2017,,Government,primary
Yudi Gunyi School,WATERLOO,NSW,2017,,Government,secondary
Our Lady of Mount Carmel Catholic Primary School,WATERLOO,NSW,2017,,Catholic,primary
Taylors College,WATERLOO,NSW,2017,,Private,secondary
Gardeners Road Public School,ROSEBERY,NSW,2018,,Government,primary
Eastlakes Public School,EASTLAKES,NSW,2018,,Government,primary
Botany Public School,BOTANY,NSW,2019,,Government,primary
Banksmeadow Public School,BOTANY,NSW,2019,,Government,primary
Pagewood Public School,BOTANY,NSW,2019,,Government,primary
St Bernard's Catholic Primary School,BOTANY,NSW,2019,97,Catholic,primary
Mascot Public School,MASCOT,NSW,2020,,Government,primary
J J Cahill Memorial High School,MASCOT,NSW,2020,,Government,secondary
St Therese Catholic Primary School,MASCOT,NSW,2020,,Catholic,primary
Paddington Public School,PADDINGTON,NSW,2021,,Government,primary
St Francis of Assisi Regional Catholic Primary School,PADDINGTON,NSW,2021,,Catholic,primary
Sydney Grammar School - Edgecliff Preparatory School,PADDINGTON,NSW,2021,,Private,primary
Glenmore Road Public School,PADDINGTON,NSW,2021,99,Government,primary
Sydney Boys High School,MOORE PARK,NSW,2021,,Government,secondary
Moriah College,BONDI JUNCTION,NSW,2022,98,Private,primary
Moriah College,BONDI JUNCTION,NSW,2022,96,Private,secondary
"SEDA College NSW, Waverley",BONDI JUNCTION,NSW,2022,,Private,secondary
"The Scots College, Royle House campus",BELLEVUE HILL,NSW,2023,,Private,secondary
The Scots College Preparatory School,BELLEVUE HILL,NSW,2023,,Private,primary
Bellevue Hill Public School,BELLEVUE HILL,NSW,2023,98,Government,primary
The Scots College,BELLEVUE HILL,NSW,2023,99,Private,primary
The Scots College,BELLEVUE HILL,NSW,2023,97,Private,secondary
Cranbrook School,BELLEVUE HILL,NSW,2023,97,Private,secondary
The Scots College ELC campus,BELLEVUE HILL,NSW,2023,,Private,primary
"The Scots College, Ginahgulla Centre campus",BELLEVUE HILL,NSW,2023,,Private,primary
"The Scots College, Ginahgulla Centre campus",BELLEVUE HILL,NSW,2023,,Private,secondary
"The Scots College, Royle House campus",BELLEVUE HILL,NSW,2023,,Private,primary
"The Scots College, Macintyre House campus",BELLEVUE HILL,NSW,2023,,Private,secondary
"The Scots College, Macintyre House campus",BELLEVUE HILL,NSW,2023,,Private,primary
Waverley College,WAVERLEY,NSW,2024,PNO,Private,secondary
St Charles' Primary School,WAVERLEY,NSW,2024,99,Catholic,primary
Waverley Public School,WAVERLEY,NSW,2024,,Government,primary
St Catherine's School,WAVERLEY,NSW,2024,98,Private,primary
Bronte Public School,BRONTE,NSW,2024,98,Government,primary
Clovelly Public School,WAVERLEY,NSW,2024,,Government,primary
St Clare's College,WAVERLEY,NSW,2024,92,Catholic,secondary
St Catherine's School,WAVERLEY,NSW,2024,96,Private,secondary
Waverley College - Waterford Campus,WAVERLEY,NSW,2024,,Private,primary
Reddam House,WOOLLAHRA,NSW,2025,99,Private,primary
Reddam House Primary School,WOOLLAHRA,NSW,2025,,Private,secondary
Woollahra Public School,WOOLLAHRA,NSW,2025,100,Government,primary
Reddam House Primary School,WOOLLAHRA,NSW,2025,,Private,primary
Reddam House,WOOLLAHRA,NSW,2025,99,Private,secondary
"SEDA College NSW, North Bondi",NORTH BONDI,NSW,2026,,Private,secondary
Wairoa School,BONDI BEACH,NSW,2026,,Government,primary
Wairoa School,BONDI BEACH,NSW,2026,,Government,secondary
Galilee Catholic Primary School,BONDI BEACH,NSW,2026,,Catholic,primary
Bondi Public School,BONDI,NSW,2026,,Government,primary
WAYS Secondary,BONDI,NSW,2026,,Private,secondary
Yeshiva College,BONDI,NSW,2026,,Private,primary
Yeshiva College,BONDI,NSW,2026,,Private,secondary
Bondi Beach Public School,BONDI BEACH,NSW,2026,,Government,primary
Montessori East,BONDI,NSW,2026,,Private,primary
"Reddam House, Bondi Campus",NORTH BONDI,NSW,2026,,Private,secondary
Ascham School,EDGECLIFF,NSW,2027,98,Private,secondary
Ascham School,EDGECLIFF,NSW,2027,100,Private,primary
Double Bay Public School,DOUBLE BAY,NSW,2028,,Government,primary
McAuley Catholic Primary School,ROSE BAY,NSW,2029,99,Catholic,primary
Cranbrook Junior School,ROSE BAY,NSW,2029,,Private,primary
Rose Bay Public School,ROSE BAY,NSW,2029,97,Government,primary
"Kambala, Fernbank Campus",ROSE BAY,NSW,2029,,Private,secondary
Kambala,ROSE BAY,NSW,2029,98,Private,secondary
Kambala,ROSE BAY,NSW,2029,100,Private,primary
Kincoppal - Rose Bay School of the Sacred Heart,ROSE BAY,NSW,2029,94,Private,secondary
Kincoppal - Rose Bay School of the Sacred Heart,ROSE BAY,NSW,2029,,Private,primary
Vaucluse Public School,VAUCLUSE,NSW,2030,,Government,primary
Kesser Torah College,DOVER HEIGHTS,NSW,2030,,Private,secondary
Rose Bay Secondary College,DOVER HEIGHTS,NSW,2030,94,Government,secondary
Kesser Torah College,DOVER HEIGHTS,NSW,2030,,Private,primary
St Margaret Mary's Catholic Primary School,RANDWICK NORTH,NSW,2031,,Catholic,primary
Centennial Park School,RANDWICK,NSW,2031,,Government,secondary
Emanuel School,RANDWICK,NSW,2031,99,Private,primary
Emanuel School,RANDWICK,NSW,2031,98,Private,secondary
Coogee Boys' Preparatory School,RANDWICK,NSW,2031,98,Private,primary
Claremont College,RANDWICK,NSW,2031,98,Private,primary
The Joseph Varga School,RANDWICK,NSW,2031,,Private,secondary
Marcellin College,RANDWICK,NSW,2031,93,Catholic,secondary
The Joseph Varga School,RANDWICK,NSW,2031,,Private,primary
Sydney Childrens Hospital School,RANDWICK,NSW,2031,,Government,primary
Sydney Childrens Hospital School,RANDWICK,NSW,2031,,Government,secondary
Rainbow Street Public School,RANDWICK,NSW,2031,,Government,primary
Randwick Public School,RANDWICK,NSW,2031,98,Government,primary
Randwick Girls High School,RANDWICK,NSW,2031,,Government,secondary
Our Lady of the Sacred Heart Catholic Primary School,RANDWICK,NSW,2031,99,Catholic,primary
Brigidine College Randwick,RANDWICK,NSW,2031,93,Catholic,secondary
St Anthony's Catholic Primary School,CLOVELLY,NSW,2031,,Catholic,primary
Randwick Boys High School,RANDWICK,NSW,2031,,Government,secondary
Daceyville Public School,DACEYVILLE,NSW,2032,,Government,primary
St Michael's Catholic Primary School,DACEYVILLE,NSW,2032,,Catholic,primary
"St Spyridon College, Junior School Campus",KINGSFORD,NSW,2032,,Private,primary
Our Lady of the Sacred Heart College,KENSINGTON,NSW,2033,91,Catholic,secondary
Our Lady of the Rosary Catholic Primary School,KENSINGTON,NSW,2033,98,Catholic,primary
Kensington Public School,KENSINGTON,NSW,2033,,Government,primary
South Coogee Public School,SOUTH COOGEE,NSW,2034,,Government,primary
St Brigid's Catholic Primary School,COOGEE,NSW,2034,98,Catholic,primary
Coogee Public School,COOGEE,NSW,2034,,Government,primary
St Aidan's Catholic Primary School,MAROUBRA JUNCTION,NSW,2035,97,Catholic,primary
Lycee Condorcet The International French School Of Sydney,MAROUBRA JUNCTION,NSW,2035,97,Private,primary
Lycee Condorcet The International French School Of Sydney,MAROUBRA JUNCTION,NSW,2035,98,Private,secondary
Maroubra Bay Public School,MAROUBRA,NSW,2035,,Government,primary
Maroubra Junction Public School,MAROUBRA,NSW,2035,,Government,primary
South Sydney High School,MAROUBRA,NSW,2035,,Government,secondary
St Mary - St Joseph Catholic Primary School,MAROUBRA,NSW,2035,97,Catholic,primary
Champagnat Catholic College,MAROUBRA,NSW,2035,,Catholic,secondary
Mount Sinai College,MAROUBRA,NSW,2035,97,Private,primary
St Spyridon College,MAROUBRA,NSW,2035,93,Private,secondary
Our Lady of the Annunciation Catholic Primary School,PAGEWOOD,NSW,2035,,Catholic,primary
"Aspect South East Sydney School, Maroubra",MAROUBRA,NSW,2035,,Private,primary
The Bowen College,MAROUBRA,NSW,2035,,Private,secondary
Matraville Public School,MATRAVILLE,NSW,2036,,Government,primary
St Andrew's Catholic Primary School,MALABAR,NSW,2036,,Catholic,primary
Chifley Public School,MALABAR,NSW,2036,,Government,primary
Matraville Soldiers Settlement Public School,MATRAVILLE,NSW,2036,,Government,primary
St Agnes' Catholic Primary School,MATRAVILLE,NSW,2036,,Catholic,primary
Malabar Public School,MALABAR,NSW,2036,,Government,primary
La Perouse Public School,LA PEROUSE,NSW,2036,,Government,primary
Matraville Sports High School,CHIFLEY,NSW,2036,,Government,secondary
Forest Lodge Public School,FOREST LODGE,NSW,2037,97,Government,primary
SEDA College NSW,FOREST LODGE,NSW,2037,,Private,secondary
Australian Performing Arts Grammar School,GLEBE,NSW,2037,,Private,secondary
St Scholastica's College Glebe Point,GLEBE,NSW,2037,93,Private,secondary
St James Catholic Primary School,GLEBE,NSW,2037,,Catholic,primary
Sydney Secondary College Blackwattle Bay Campus,GLEBE,NSW,2037,,Government,secondary
Glebe Public School,GLEBE,NSW,2037,,Government,primary
Annandale Public School,ANNANDALE,NSW,2038,97,Government,primary
Annandale North Public School,ANNANDALE,NSW,2038,,Government,primary
St Brendan's Catholic Primary School,ANNANDALE,NSW,2038,,Catholic,primary
Sydney Secondary College Balmain Campus,ROZELLE,NSW,2039,95,Government,secondary
Rozelle Public School,ROZELLE,NSW,2039,,Government,primary
"Inner Sydney Montessori School, Lilyfield",LILYFIELD,NSW,2040,,Private,secondary
"Inner Sydney Montessori School, Lilyfield",LILYFIELD,NSW,2040,,Private,primary
"Aspect South East Sydney School, Leichhardt",LEICHHARDT,NSW,2040,,Private,primary
St Fiacre's Catholic Primary School,LEICHHARDT,NSW,2040,,Catholic,primary
Sydney Secondary College Leichhardt Campus,LEICHHARDT,NSW,2040,95,Government,secondary
Leichhardt Public School,LEICHHARDT,NSW,2040,,Government,primary
Orange Grove Public School,LEICHHARDT,NSW,2040,,Government,primary
Kegworth Public School,LEICHHARDT,NSW,2040,,Government,primary
Nicholson Street Public School,BALMAIN EAST,NSW,2041,,Government,primary
Inner Sydney Montessori School,BALMAIN,NSW,2041,99,Private,primary
Fr John Therry Catholic Primary School Balmain-Rozelle,BALMAIN,NSW,2041,,Catholic,primary
Balmain Public School,BALMAIN,NSW,2041,,Government,primary
Birchgrove Public School,BALMAIN,NSW,2041,,Government,primary
St Pius' Catholic Primary School,ENMORE,NSW,2042,,Catholic,primary
Newtown High School of Performing Arts,NEWTOWN,NSW,2042,PNO,Government,secondary
The Athena School,NEWTOWN,NSW,2042,,Private,primary
Newtown North Public School,NEWTOWN,NSW,2042,,Government,primary
The Athena School,NEWTOWN,NSW,2042,,Private,secondary
Camdenville Public School,NEWTOWN,NSW,2042,96,Government,primary
Australia Street Infants School,NEWTOWN,NSW,2042,,Government,primary
Newtown Public School,NEWTOWN,NSW,2042,,Government,primary
Erskineville Public School,ERSKINEVILLE,NSW,2043,97,Government,primary
St Mary's Catholic Primary School,ERSKINEVILLE,NSW,2043,,Catholic,primary
Tempe High School,TEMPE,NSW,2044,96,Government,secondary
St Peters Public School,ST PETERS,NSW,2044,,Government,primary
Tempe Public School,TEMPE,NSW,2044,,Government,primary
St Joan of Arc Catholic Primary School,HABERFIELD,NSW,2045,,Catholic,primary
Dobroyd Point Public School,HABERFIELD,NSW,2045,97,Government,primary
Haberfield Public School,HABERFIELD,NSW,2045,97,Government,primary
Russell Lea Public School,RUSSELL LEA,NSW,2046,,Government,primary
Rosebank College,FIVE DOCK,NSW,2046,95,Private,secondary
Domremy Catholic College,FIVE DOCK,NSW,2046,,Catholic,secondary
Lucas Gardens School,CANADA BAY,NSW,2046,,Government,secondary
Lucas Gardens School,CANADA BAY,NSW,2046,,Government,primary
Abbotsford Public School,ABBOTSFORD,NSW,2046,,Government,primary
All Hallows Catholic Primary School,FIVE DOCK,NSW,2046,,Catholic,primary
Five Dock Public School,FIVE DOCK,NSW,2046,,Government,primary
Drummoyne Public School,DRUMMOYNE,NSW,2047,98,Government,primary
St Mark's Catholic Primary School,DRUMMOYNE,NSW,2047,97,Catholic,primary
Newington College - Wyvern House Preparatory School,STANMORE,NSW,2048,,Private,primary
Newington College,STANMORE,NSW,2048,98,Private,secondary
St Michael's Catholic Primary School,STANMORE,NSW,2048,,Catholic,primary
Stanmore Public School,STANMORE,NSW,2048,,Government,primary
Eileen O'Connor Catholic College,LEWISHAM,NSW,2049,,Catholic,primary
The John Berne School,LEWISHAM,NSW,2049,,Private,secondary
Christian Brothers' High School Lewisham,LEWISHAM,NSW,2049,,Private,secondary
Christian Brothers' High School Lewisham,LEWISHAM,NSW,2049,,Private,primary
Lewisham Public School,LEWISHAM,NSW,2049,,Government,primary
Taverners Hill Infants School,PETERSHAM,NSW,2049,,Government,primary
NSW School of Languages,PETERSHAM,NSW,2049,,Government,secondary
Petersham Public School,PETERSHAM,NSW,2049,,Government,primary
Fort Street High School,PETERSHAM,NSW,2049,100,Government,secondary
Eileen O'Connor Catholic College,LEWISHAM,NSW,2049,,Catholic,secondary
Bridge Road School,CAMPERDOWN,NSW,2050,,Government,primary
Royal Prince Alfred Hospital School,CAMPERDOWN,NSW,2050,,Government,secondary
Royal Prince Alfred Hospital School,CAMPERDOWN,NSW,2050,,Government,primary
SHORE - Sydney Church of England Grammar School,NORTH SYDNEY,NSW,2060,98,Private,secondary
Marist Catholic College North Shore,NORTH SYDNEY,NSW,2060,99,Catholic,primary
St Mary's Catholic Primary School,NORTH SYDNEY,NSW,2060,,Catholic,primary
Marist Catholic College North Shore,NORTH SYDNEY,NSW,2060,95,Catholic,secondary
"Cameragal Montessori School, Lavender Bay Campus",NORTH SYDNEY,NSW,2060,,Private,secondary
"Cameragal Montessori School, Lavender Bay Campus",NORTH SYDNEY,NSW,2060,,Private,primary
Cameragal Montessori School,NORTH SYDNEY,NSW,2060,,Private,primary
Monte Sant' Angelo Mercy College,NORTH SYDNEY,NSW,2060,96,Private,secondary
North Sydney Public School,WAVERTON,NSW,2060,96,Government,primary
Wenona School,NORTH SYDNEY,NSW,2060,99,Private,primary
Wenona School,NORTH SYDNEY,NSW,2060,98,Private,secondary
"Cameragal Montessori School, North Sydney Campus",NORTH SYDNEY,NSW,2060,,Private,primary
"Cameragal Montessori School, North Sydney Campus",NORTH SYDNEY,NSW,2060,,Private,secondary
"SHORE - Sydney Church of England Preparatory School, North Sydney",NORTH SYDNEY,NSW,2060,,Private,primary
