school,suburb,state,postcode,score,schoolType,educationLevel
Mountain District Community College,FERNTREE GULLY,VIC,3156,,Private,secondary
Kent Park Primary School,FERNTREE GULLY,VIC,3156,,Government,primary
Eastern Ranges School,FERNTREE GULLY,VIC,3156,,Government,primary
Eastern Ranges School,FERNTREE GULLY,VIC,3156,,Government,secondary
Ferntree Gully North Primary School,FERNTREE GULLY,VIC,3156,,Government,primary
Wattle View Primary School,FERNTREE GULLY,VIC,3156,,Government,primary
Upwey Primary School,UPWEY,VIC,3158,95,Government,primary
Upwey South Primary School,UPWEY,VIC,3158,,Government,primary
Upwey High School,UPWEY,VIC,3158,,Government,secondary
Selby Primary School,SELBY,VIC,3159,93,Government,primary
Menzies Creek Primary School,MENZIES CREEK,VIC,3159,,Government,primary
Mater Christi College,BELGRAVE,VIC,3160,,Catholic,secondary
St Thomas More's School,BELGRAVE,VIC,3160,,Catholic,primary
Belgrave South Primary School,BELGRAVE SOUTH,VIC,3160,,Government,primary
Belgrave Heights Christian School,BELGRAVE HEIGHTS,VIC,3160,,Private,secondary
Tecoma Primary School,TECOMA,VIC,3160,,Government,primary
Belgrave Heights Christian School,BELGRAVE HEIGHTS,VIC,3160,92,Private,primary
Melbourne Grammar School - Grimwade Campus,CAULFIELD NORTH,VIC,3161,,Private,secondary
Melbourne Grammar School - Grimwade Campus,CAULFIELD NORTH,VIC,3161,,Private,primary
Oakwood School,CAULFIELD NORTH,VIC,3161,,Government,secondary
Caulfield Junior College,CAULFIELD NORTH,VIC,3161,94,Government,primary
Mount Scopus Memorial College - Fink Karp Ivany Campus,CAULFIELD SOUTH,VIC,3162,,Private,secondary
Mount Scopus Memorial College - Fink Karp Ivany Campus,CAULFIELD SOUTH,VIC,3162,,Private,primary
Melbourne Montessori School,CAULFIELD SOUTH,VIC,3162,97,Private,primary
Melbourne Montessori School,CAULFIELD SOUTH,VIC,3162,91,Private,secondary
Japanese School of Melbourne,CAULFIELD SOUTH,VIC,3162,,Private,primary
Japanese School of Melbourne,CAULFIELD SOUTH,VIC,3162,,Private,secondary
Caulfield South Primary School,CAULFIELD SOUTH,VIC,3162,96,Government,primary
Caulfield Primary School,CAULFIELD SOUTH,VIC,3162,98,Government,primary
St Anthony's School,GLEN HUNTLY,VIC,3163,,Catholic,primary
Glen Huntly Primary School,GLEN HUNTLY,VIC,3163,97,Government,primary
Carnegie Primary School,CARNEGIE,VIC,3163,98,Government,primary
Noble Park English Language School-Stonnington Glen Eira Campus,GLEN HUNTLY,VIC,3163,,Government,primary
St Patrick's School,MURRUMBEENA,VIC,3163,93,Catholic,primary
Murrumbeena Primary School,MURRUMBEENA,VIC,3163,98,Government,primary
St James College,BENTLEIGH EAST,VIC,3165,,Catholic,secondary
Coatesville Primary School,BENTLEIGH EAST,VIC,3165,98,Government,primary
St Bede's College - Bentleigh East Campus,BENTLEIGH EAST,VIC,3165,,Catholic,secondary
East Bentleigh Primary School,BENTLEIGH EAST,VIC,3165,,Government,primary
Bentleigh Secondary College,BENTLEIGH EAST,VIC,3165,,Government,secondary
St Peter's School,BENTLEIGH EAST,VIC,3165,91,Catholic,primary
Valkstone Primary School,BENTLEIGH EAST,VIC,3165,98,Government,primary
Christ Our Holy Redeemer School,OAKLEIGH EAST,VIC,3166,95,Catholic,primary
Oakleigh Primary School,OAKLEIGH,VIC,3166,97,Government,primary
Sacred Heart School,OAKLEIGH,VIC,3166,,Catholic,primary
Oakleigh Grammar,OAKLEIGH,VIC,3166,90,Private,secondary
Sacred Heart Girls' College,OAKLEIGH,VIC,3166,95,Catholic,secondary
Oakleigh Grammar,OAKLEIGH,VIC,3166,94,Private,primary
Amsleigh Park Primary School,OAKLEIGH EAST,VIC,3166,93,Government,primary
Hughesdale Primary School,HUGHESDALE,VIC,3166,96,Government,primary
Huntingdale Primary School,OAKLEIGH SOUTH,VIC,3167,99,Government,primary
Oakleigh South Primary School,OAKLEIGH SOUTH,VIC,3167,100,Government,primary
South Oakleigh Secondary College,OAKLEIGH SOUTH,VIC,3167,90,Government,secondary
SEDA College (Victoria) - AFL - Clayton,CLAYTON,VIC,3168,,Private,secondary
St Peter's School,CLAYTON,VIC,3168,,Catholic,primary
John Monash Science School,CLAYTON,VIC,3168,,Government,secondary
Clayton North Primary School,CLAYTON,VIC,3168,,Government,primary
Westall Primary School,CLAYTON SOUTH,VIC,3169,,Government,primary
Westall Secondary College,CLAYTON SOUTH,VIC,3169,,Government,secondary
St Andrew's School,CLAYTON SOUTH,VIC,3169,,Catholic,primary
Westall Secondary College-Westall English Language Centre,CLAYTON SOUTH,VIC,3169,,Government,secondary
Fitra Community School,CLAYTON SOUTH,VIC,3169,94,Private,primary
Heatherton Christian College,CLARINDA,VIC,3169,96,Private,secondary
Heatherton Christian College,CLARINDA,VIC,3169,97,Private,primary
Clarinda Primary School,CLARINDA,VIC,3169,93,Government,primary
Clayton South Primary School,CLAYTON SOUTH,VIC,3169,,Government,primary
St John Vianney's School,MULGRAVE,VIC,3170,,Catholic,primary
Mazenod College,MULGRAVE,VIC,3170,96,Catholic,secondary
Wellington Secondary College,MULGRAVE,VIC,3170,92,Government,secondary
Mulgrave Primary School,MULGRAVE,VIC,3170,,Government,primary
Albany Rise Primary School,MULGRAVE,VIC,3170,,Government,primary
Minaret College,SPRINGVALE,VIC,3171,,Private,primary
Springvale Rise Primary School-Springvale Road Campus,SPRINGVALE,VIC,3171,,Government,primary
Springvale Rise Primary School,SPRINGVALE,VIC,3171,,Government,primary
Springvale Park Special Developmental School,SPRINGVALE,VIC,3171,,Government,secondary
Springvale Park Special Developmental School,SPRINGVALE,VIC,3171,,Government,primary
Heatherhill Primary School,SPRINGVALE,VIC,3171,,Government,primary
Killester College,SPRINGVALE,VIC,3171,91,Catholic,secondary
St Joseph's School,SPRINGVALE,VIC,3171,,Catholic,primary
Spring Parks Primary School,SPRINGVALE,VIC,3171,,Government,primary
Noble Park English Language School-Springvale Campus,SPRINGVALE,VIC,3171,,Government,primary
Minaret College,SPRINGVALE,VIC,3171,,Private,secondary
Athol Road Primary School,SPRINGVALE SOUTH,VIC,3172,,Government,primary
Keysborough Primary School,SPRINGVALE SOUTH,VIC,3172,,Government,primary
Dingley Primary School,DINGLEY VILLAGE,VIC,3172,92,Government,primary
Kingswood Primary School,DINGLEY VILLAGE,VIC,3172,93,Government,primary
St Mark's School,DINGLEY VILLAGE,VIC,3172,,Catholic,primary
Spring Parks Primary School-Valley Campus,SPRINGVALE SOUTH,VIC,3172,,Government,primary
Keysborough Secondary College,SPRINGVALE SOUTH,VIC,3172,,Government,secondary
Hoa Nghiem Primary School,SPRINGVALE SOUTH,VIC,3172,91,Private,primary
SEDA College (Victoria) - Netball  - Keysborough,KEYSBOROUGH,VIC,3173,,Private,secondary
Keysborough Gardens Primary School,KEYSBOROUGH,VIC,3173,,Government,primary
Haileybury Girls College,KEYSBOROUGH,VIC,3173,,Private,primary
Mt Hira College,KEYSBOROUGH,VIC,3173,,Private,secondary
Mt Hira College,KEYSBOROUGH,VIC,3173,,Private,primary
Sirius College - Keysborough Campus,KEYSBOROUGH,VIC,3173,,Private,secondary
Lighthouse Christian College,KEYSBOROUGH,VIC,3173,93,Private,secondary
Lighthouse Christian College,KEYSBOROUGH,VIC,3173,98,Private,primary
Haileybury Girls College,KEYSBOROUGH,VIC,3173,,Private,secondary
Haileybury College,KEYSBOROUGH,VIC,3173,99,Private,secondary
Haileybury College,KEYSBOROUGH,VIC,3173,100,Private,primary
Resurrection School,KEYSBOROUGH,VIC,3173,,Catholic,primary
Keysborough Secondary College-Acacia Campus,KEYSBOROUGH,VIC,3173,,Government,secondary
Chandler Park Primary School,KEYSBOROUGH,VIC,3173,,Government,primary
Sirius College - Keysborough Campus,KEYSBOROUGH,VIC,3173,,Private,primary
Yarraman Oaks Primary School,NOBLE PARK,VIC,3174,,Government,primary
Berry Street School,NOBLE PARK,VIC,3174,,Private,secondary
St Anthony's School,NOBLE PARK,VIC,3174,,Catholic,primary
Noble Park Secondary College,NOBLE PARK,VIC,3174,,Government,secondary
Carwatha College P-12,NOBLE PARK,VIC,3174,,Government,secondary
Carwatha College P-12,NOBLE PARK,VIC,3174,,Government,primary
Harrisfield Primary School,NOBLE PARK,VIC,3174,,Government,primary
Wallarano Primary School,NOBLE PARK,VIC,3174,,Government,primary
Noble Park English Language School,NOBLE PARK,VIC,3174,,Government,secondary
Silverton Primary School,NOBLE PARK NORTH,VIC,3174,,Government,primary
Noble Park Primary School,NOBLE PARK,VIC,3174,,Government,primary
Noble Park English Language School,NOBLE PARK,VIC,3174,,Government,primary
Oakwood School-Noble Park Campus,NOBLE PARK NORTH,VIC,3174,,Government,secondary
Rosewood Downs Primary School,DANDENONG NORTH,VIC,3175,,Government,primary
Lyndale Greens Primary School,DANDENONG NORTH,VIC,3175,,Government,primary
Lyndale Secondary College,DANDENONG NORTH,VIC,3175,,Government,secondary
St Gerard's School,DANDENONG NORTH,VIC,3175,,Catholic,primary
Dandenong South Primary School,DANDENONG,VIC,3175,,Government,primary
Cornish College,BANGHOLME,VIC,3175,92,Private,primary
St Elizabeth's School,DANDENONG NORTH,VIC,3175,,Catholic,primary
Emerson School-Emerson Middle campus,DANDENONG NORTH,VIC,3175,,Government,primary
Emerson School-Emerson Middle campus,DANDENONG NORTH,VIC,3175,,Government,secondary
Dandenong Primary School,DANDENONG,VIC,3175,,Government,primary
Dandenong West Primary School,DANDENONG,VIC,3175,,Government,primary
Dandenong North Primary School,DANDENONG,VIC,3175,92,Government,primary
Cornish College,BANGHOLME,VIC,3175,90,Private,secondary
Emerson School,DANDENONG,VIC,3175,,Government,primary
Wooranna Park Primary School,DANDENONG,VIC,3175,,Government,primary
SEDA College (Victoria) - AFL Dandenong Campus - Dandenong Oasis,DANDENONG,VIC,3175,,Private,secondary
SEDA College (Victoria) - Building and Construction - Dandenong,DANDENONG,VIC,3175,,Private,secondary
SEDA College (Victoria) - Basketball - Dandenong,DANDENONG,VIC,3175,,Private,secondary
Dandenong High School-Cleeland Campus,DANDENONG,VIC,3175,,Government,secondary
St Mary’s College for the Deaf – Dandenong Campus,DANDENONG,VIC,3175,,Catholic,secondary
St John's Regional College,DANDENONG,VIC,3175,,Catholic,secondary
St Mary's School,DANDENONG,VIC,3175,,Catholic,primary
Emerson School,DANDENONG,VIC,3175,,Government,secondary
Dandenong High School,DANDENONG,VIC,3175,,Government,secondary
Ilim College - Doveton Campus,DOVETON,VIC,3177,,Private,secondary
Ilim College - Doveton Campus,DOVETON,VIC,3177,,Private,primary
Hallam Secondary College-Hallam Senior College / Mission Australia Annex,DOVETON,VIC,3177,,Government,secondary
Maranatha Christian School - Doveton Campus,DOVETON,VIC,3177,,Private,secondary
Dandenong High School Burremah Grassmere Annexe,DOVETON,VIC,3177,,Government,secondary
Doveton College,DOVETON,VIC,3177,,Government,primary
Doveton College,DOVETON,VIC,3177,,Government,secondary
Maranatha Christian School - Doveton Campus,DOVETON,VIC,3177,,Private,primary
Holy Family School,DOVETON,VIC,3177,,Catholic,primary
Dandenong High School-Myuna Secondary Teaching Unit,DOVETON,VIC,3177,,Government,secondary
Rowville Primary School,ROWVILLE,VIC,3178,,Government,primary
Karoo Primary School,ROWVILLE,VIC,3178,,Government,primary
Heany Park Primary School,ROWVILLE,VIC,3178,94,Government,primary
Rowville Secondary College,ROWVILLE,VIC,3178,,Government,secondary
Rowville Secondary College-Eastern Campus,ROWVILLE,VIC,3178,,Government,secondary
St Simon's School,ROWVILLE,VIC,3178,,Catholic,primary
Park Ridge Primary School,ROWVILLE,VIC,3178,,Government,primary
Scoresby Primary School,SCORESBY,VIC,3179,,Government,primary
Scoresby Secondary College,SCORESBY,VIC,3179,,Government,secondary
St Jude the Apostle School,SCORESBY,VIC,3179,,Catholic,primary
Knox Park Primary School,KNOXFIELD,VIC,3180,93,Government,primary
Carrington Primary School,KNOXFIELD,VIC,3180,,Government,primary
Fairhills High School,KNOXFIELD,VIC,3180,,Government,secondary
Presentation College Windsor,WINDSOR,VIC,3181,,Catholic,secondary
Our Lady of Lourdes School,PRAHRAN,VIC,3181,94,Catholic,primary
Prahran High School,WINDSOR,VIC,3181,,Government,secondary
Wesley College - St Kilda Road Junior Campus,WINDSOR,VIC,3181,,Private,secondary
Wesley College - St Kilda Road Junior Campus,WINDSOR,VIC,3181,,Private,primary
Windsor Primary School,WINDSOR,VIC,3181,,Government,primary
St Michael's Grammar School,ST KILDA,VIC,3182,93,Private,secondary
St Michael's Grammar School,ST KILDA,VIC,3182,96,Private,primary
St Kilda Park Primary School,ST KILDA,VIC,3182,92,Government,primary
St Kilda Primary School,ST KILDA,VIC,3182,90,Government,primary
Beth Rivkah Ladies College,ST KILDA EAST,VIC,3183,,Private,secondary
Beth Rivkah Ladies College,ST KILDA EAST,VIC,3183,,Private,primary
Christian Brothers' College - Balaclava Campus,BALACLAVA,VIC,3183,,Catholic,secondary
St Mary's School - Campus 2,ST KILDA EAST,VIC,3183,,Catholic,primary
Yeshivah College,ST KILDA EAST,VIC,3183,,Private,secondary
Yeshivah College,ST KILDA EAST,VIC,3183,91,Private,primary
Mount Scopus Memorial College - Gandel Besen House Campus,ST KILDA EAST,VIC,3183,,Private,secondary
Mount Scopus Memorial College - Gandel Besen House Campus,ST KILDA EAST,VIC,3183,,Private,primary
Caulfield Grammar School,ST KILDA EAST,VIC,3183,,Private,secondary
Caulfield Grammar School,ST KILDA EAST,VIC,3183,,Private,primary
St Mary's School,ST KILDA EAST,VIC,3183,,Catholic,primary
St Mary’s College Melbourne - Edmund Rice Campus,ST KILDA EAST,VIC,3183,,Catholic,secondary
Ripponlea Primary School,ST KILDA EAST,VIC,3183,92,Government,primary
Elwood Primary School,ELWOOD,VIC,3184,92,Government,primary
Elwood College,ELWOOD,VIC,3184,,Government,secondary
St Columba's School,ELWOOD,VIC,3184,,Catholic,primary
Yesodei HaTorah College,ELWOOD,VIC,3184,95,Private,primary
Yesodei HaTorah College,ELWOOD,VIC,3184,92,Private,secondary
Sholem Aleichem College - Senior Campus,ELSTERNWICK,VIC,3185,,Private,primary
Adass Israel School - Glen Eira Road Campus,ELSTERNWICK,VIC,3185,,Private,primary
Adass Israel School - Glen Eira Road Campus,ELSTERNWICK,VIC,3185,,Private,secondary
Divrei Emineh,ELSTERNWICK,VIC,3185,,Private,secondary
Wesley College - Elsternwick Campus,ELSTERNWICK,VIC,3185,,Private,primary
Adass Israel School - Orrong Road Campus,ELSTERNWICK,VIC,3185,,Private,primary
Adass Israel School - Orrong Road Campus,ELSTERNWICK,VIC,3185,,Private,secondary
Leibler Yavneh College,ELSTERNWICK,VIC,3185,,Private,primary
Leibler Yavneh College,ELSTERNWICK,VIC,3185,,Private,secondary
Adass Israel School,ELSTERNWICK,VIC,3185,,Private,secondary
Divrei Emineh,ELSTERNWICK,VIC,3185,,Private,primary
Wesley College - Elsternwick Campus,ELSTERNWICK,VIC,3185,,Private,secondary
Adass Israel School,ELSTERNWICK,VIC,3185,91,Private,primary
St Joseph's School,ELSTERNWICK,VIC,3185,97,Catholic,primary
Sholem Aleichem College,ELSTERNWICK,VIC,3185,98,Private,primary
Xavier College - Kostka Hall,BRIGHTON,VIC,3186,,Catholic,secondary
Brighton Grammar School - Primary Campus,BRIGHTON,VIC,3186,,Private,primary
Brighton Grammar School - Primary Campus,BRIGHTON,VIC,3186,,Private,secondary
Firbank Grammar School - Second Campus,BRIGHTON,VIC,3186,,Private,primary
Firbank Grammar School - Second Campus,BRIGHTON,VIC,3186,,Private,secondary
Brighton Beach Primary School,BRIGHTON,VIC,3186,,Government,primary
Elsternwick Primary School,BRIGHTON,VIC,3186,97,Government,primary
Star of the Sea College,BRIGHTON,VIC,3186,94,Catholic,secondary
St James' School,BRIGHTON,VIC,3186,,Catholic,primary
Xavier College - Kostka Hall,BRIGHTON,VIC,3186,,Catholic,primary
St Joan of Arc School,BRIGHTON,VIC,3186,98,Catholic,primary
Brighton Primary School,BRIGHTON,VIC,3186,96,Government,primary
Firbank Grammar School,BRIGHTON,VIC,3186,95,Private,secondary
Firbank Grammar School,BRIGHTON,VIC,3186,98,Private,primary
Haileybury College - Brighton Campus,BRIGHTON,VIC,3186,,Private,primary
Haileybury College - Brighton Campus,BRIGHTON,VIC,3186,,Private,secondary
Brighton Grammar School,BRIGHTON,VIC,3186,98,Private,primary
Brighton Grammar School,BRIGHTON,VIC,3186,97,Private,secondary
Brighton Primary School-Brighton Primary School Deaf Facility,BRIGHTON,VIC,3186,,Government,primary
Haileybury Girls College - Brighton Campus,BRIGHTON,VIC,3186,,Private,primary
Haileybury Girls College - Brighton Campus,BRIGHTON,VIC,3186,,Private,secondary
Xavier College - Billilla Annex Campus,BRIGHTON,VIC,3186,,Catholic,primary
Xavier College - Billilla Annex Campus,BRIGHTON,VIC,3186,,Catholic,secondary
Gardenvale Primary School,BRIGHTON EAST,VIC,3187,93,Government,primary
Brighton Secondary College,BRIGHTON EAST,VIC,3187,94,Government,secondary
St Leonard's College,BRIGHTON EAST,VIC,3187,98,Private,primary
St Leonard's College,BRIGHTON EAST,VIC,3187,98,Private,secondary
Melbourne Montessori School - Brighton East Campus,BRIGHTON EAST,VIC,3187,,Private,primary
St Finbar's School,BRIGHTON EAST,VIC,3187,96,Catholic,primary
Melbourne Montessori School - Brighton East Campus,BRIGHTON EAST,VIC,3187,,Private,secondary
Berendale School,HAMPTON EAST,VIC,3188,,Government,secondary
Berendale School-SMR Secondary Teaching Unit,HAMPTON EAST,VIC,3188,,Government,secondary
Hampton Primary School,HAMPTON,VIC,3188,97,Government,primary
Tombolo Academy,HAMPTON,VIC,3188,94,Private,secondary
St Mary's School,HAMPTON,VIC,3188,94,Catholic,primary
Moorabbin Primary School,MOORABBIN,VIC,3189,93,Government,primary
Avenues Education,MOORABBIN,VIC,3189,,Government,secondary
St Catherine's School,MOORABBIN,VIC,3189,96,Catholic,primary
Bayside Special Developmental School,MOORABBIN,VIC,3189,,Government,secondary
Bayside Special Developmental School,MOORABBIN,VIC,3189,,Government,primary
Southmoor Primary School,MOORABBIN,VIC,3189,92,Government,primary
St Agnes' School,HIGHETT,VIC,3190,,Catholic,primary
Sandringham College,SANDRINGHAM,VIC,3191,92,Government,secondary
Sandringham College-Bluff Road 7-9 Campus,SANDRINGHAM,VIC,3191,,Government,secondary
Sandringham Primary School,SANDRINGHAM,VIC,3191,95,Government,primary
Firbank Grammar School - Sandringham Campus,SANDRINGHAM,VIC,3191,,Private,secondary
Firbank Grammar School - Sandringham Campus,SANDRINGHAM,VIC,3191,,Private,primary
Sacred Heart School,SANDRINGHAM,VIC,3191,94,Catholic,primary
Sandringham East Primary School,SANDRINGHAM,VIC,3191,95,Government,primary
Cheltenham East Primary School,CHELTENHAM,VIC,3192,93,Government,primary
Our Lady of the Assumption School,CHELTENHAM,VIC,3192,91,Catholic,primary
Cheltenham Secondary College,CHELTENHAM,VIC,3192,,Government,secondary
Le Page Primary School,CHELTENHAM,VIC,3192,,Government,primary
Cheltenham Primary School,CHELTENHAM,VIC,3192,97,Government,primary
Kingston Heath Primary School,CHELTENHAM,VIC,3192,95,Government,primary
Beaumaris North Primary School,BEAUMARIS,VIC,3193,96,Government,primary
Stella Maris School,BEAUMARIS,VIC,3193,95,Catholic,primary
Beaumaris Primary School,BEAUMARIS,VIC,3193,94,Government,primary
Beaumaris Secondary College,BEAUMARIS,VIC,3193,,Government,secondary
St Joseph's School,BLACK ROCK,VIC,3193,95,Catholic,primary
Black Rock Primary School,BLACK ROCK,VIC,3193,94,Government,primary
Mentone Grammar School,MENTONE,VIC,3194,96,Private,primary
St Patrick's School,MENTONE,VIC,3194,93,Catholic,primary
Kilbreda College,MENTONE,VIC,3194,,Catholic,secondary
Mentone Girls Secondary College,MENTONE,VIC,3194,93,Government,secondary
Mentone Park Primary School,MENTONE,VIC,3194,,Government,primary
Mentone Primary School,MENTONE,VIC,3194,91,Government,primary
Mentone Grammar School,MENTONE,VIC,3194,95,Private,secondary
Mentone Girls' Grammar School,MENTONE,VIC,3194,98,Private,primary
Mentone Girls' Grammar School,MENTONE,VIC,3194,97,Private,secondary
St Bede's College,MENTONE,VIC,3194,,Catholic,secondary
Parkdale Secondary College,MORDIALLOC,VIC,3195,,Government,secondary
St Brigid's School,MORDIALLOC,VIC,3195,,Catholic,primary
Mordialloc College,MORDIALLOC,VIC,3195,,Government,secondary
St Louis de Montfort's School,ASPENDALE,VIC,3195,90,Catholic,primary
Parkdale Primary School,PARKDALE,VIC,3195,97,Government,primary
Parktone Primary School,PARKDALE,VIC,3195,92,Government,primary
St John Vianney's School,PARKDALE,VIC,3195,,Catholic,primary
Aspendale Gardens Primary School,ASPENDALE GARDENS,VIC,3195,96,Government,primary
Aspendale Primary School,ASPENDALE,VIC,3195,96,Government,primary
Yarrabah School,ASPENDALE,VIC,3195,,Government,primary
Mordialloc Beach Primary School,MORDIALLOC,VIC,3195,94,Government,primary
Yarrabah School,ASPENDALE,VIC,3195,,Government,secondary
Westall Secondary College-LEEP Chelsea,CHELSEA,VIC,3196,,Government,secondary
Edithvale Primary School,EDITHVALE,VIC,3196,96,Government,primary
St Joseph's School,CHELSEA,VIC,3196,93,Catholic,primary
Bonbeach Primary School,BONBEACH,VIC,3196,96,Government,primary
Chelsea Heights Primary School,CHELSEA HEIGHTS,VIC,3196,,Government,primary
Chelsea Primary School,CHELSEA,VIC,3196,91,Government,primary
Oakwood School-Oakwood School VCAL Campus,CHELSEA,VIC,3196,,Government,secondary
Carrum Primary School,CARRUM,VIC,3197,,Government,primary
Patterson Lakes Primary School,PATTERSON LAKES,VIC,3197,,Government,primary
Seaford Primary School-Seaford Special Assistance Unit,SEAFORD,VIC,3198,,Government,primary
St Anne's School,SEAFORD,VIC,3198,,Catholic,primary
Patterson River Secondary College,SEAFORD,VIC,3198,,Government,secondary
Kananook Primary School,SEAFORD,VIC,3198,,Government,primary
Seaford North Primary School,SEAFORD,VIC,3198,,Government,primary
Seaford Park Primary School,SEAFORD,VIC,3198,,Government,primary
Seaford Primary School,SEAFORD,VIC,3198,,Government,primary
Belvedere Park Primary School,SEAFORD,VIC,3198,,Government,primary
Nepean Special School,SEAFORD,VIC,3198,,Government,primary
Nepean Special School,SEAFORD,VIC,3198,,Government,secondary
Frankston Heights Primary School,FRANKSTON,VIC,3199,,Government,primary
Overport Primary School,FRANKSTON,VIC,3199,,Government,primary
Frankston East Primary School,FRANKSTON,VIC,3199,,Government,primary
Frankston High School-VCE Campus,FRANKSTON,VIC,3199,,Government,secondary
Frankston Primary School,FRANKSTON,VIC,3199,,Government,primary
McClelland Secondary College,FRANKSTON,VIC,3199,,Government,secondary
Karingal Primary School,FRANKSTON,VIC,3199,,Government,primary
Frankston High School,FRANKSTON,VIC,3199,91,Government,secondary
Mount Erin Secondary College-Mount Erin Deaf Facility,FRANKSTON,VIC,3199,,Government,secondary
Oakwood School-Career Pathway Centre,FRANKSTON,VIC,3199,,Government,secondary
Oakwood School-Frankston Campus,FRANKSTON,VIC,3199,,Government,secondary
Yea High School-Kevin Collopy Pavilion,FRANKSTON,VIC,3199,,Government,secondary
David Scott School,FRANKSTON,VIC,3199,,Private,secondary
David Scott School - High Street Campus,FRANKSTON,VIC,3199,,Private,secondary
Woodleigh School - Minimbah Campus,FRANKSTON SOUTH,VIC,3199,,Private,primary
Ballam Park Primary School,FRANKSTON,VIC,3199,,Government,primary
Woodleigh School - Minimbah Campus,FRANKSTON SOUTH,VIC,3199,,Private,secondary
Derinya Primary School,FRANKSTON SOUTH,VIC,3199,,Government,primary
Frankston Special Developmental School,FRANKSTON,VIC,3199,,Government,secondary
Frankston Special Developmental School,FRANKSTON,VIC,3199,,Government,primary
Kingsley Park Primary School,FRANKSTON,VIC,3199,,Government,primary
Naranga Special School,FRANKSTON,VIC,3199,,Government,secondary
St Francis Xavier School,FRANKSTON,VIC,3199,,Catholic,primary
Mount Erin Secondary College,FRANKSTON SOUTH,VIC,3199,,Government,secondary
John Paul College,FRANKSTON,VIC,3199,,Catholic,secondary
St Augustine's School,FRANKSTON,VIC,3199,,Catholic,primary
SEDA College (Victoria) - Frankston Park Function Centre,FRANKSTON,VIC,3199,,Private,secondary
Naranga Special School,FRANKSTON,VIC,3199,,Government,primary
Karingal Heights Primary School,FRANKSTON,VIC,3199,,Government,primary
Aldercourt Primary School,FRANKSTON NORTH,VIC,3200,,Government,primary
Mahogany Rise Primary School,FRANKSTON NORTH,VIC,3200,,Government,primary
Mahogany Rise Primary School-Mahogany Rise Student Development Centre,FRANKSTON NORTH,VIC,3200,,Government,primary
Monterey Secondary College,FRANKSTON NORTH,VIC,3200,,Government,secondary
St Joachim's School,CARRUM DOWNS,VIC,3201,,Catholic,primary
Flinders Christian Community College - Carrum Downs Campus,CARRUM DOWNS,VIC,3201,,Private,primary
Flinders Christian Community College - Carrum Downs Campus,CARRUM DOWNS,VIC,3201,,Private,secondary
Rowellyn Park Primary School,CARRUM DOWNS,VIC,3201,,Government,primary
Banyan Fields Primary School,CARRUM DOWNS,VIC,3201,,Government,primary
Carrum Downs Secondary College,CARRUM DOWNS,VIC,3201,,Government,secondary
St Paul's School,BENTLEIGH,VIC,3204,95,Catholic,primary
Katandra School,ORMOND,VIC,3204,,Government,primary
Ormond Primary School,ORMOND,VIC,3204,97,Government,primary
Yesodei HaTorah College - Brighton Campus,ORMOND,VIC,3204,,Private,secondary
Katandra School,ORMOND,VIC,3204,,Government,secondary
Our Lady of the Sacred Heart College,BENTLEIGH,VIC,3204,92,Catholic,secondary
St Kevin's School,ORMOND,VIC,3204,,Catholic,primary
Kilvington Grammar School,ORMOND,VIC,3204,99,Private,primary
Kilvington Grammar School,ORMOND,VIC,3204,98,Private,secondary
Tucker Road Bentleigh Primary School,BENTLEIGH,VIC,3204,95,Government,primary
Bentleigh West Primary School,BENTLEIGH,VIC,3204,100,Government,primary
Mckinnon Secondary College,MCKINNON,VIC,3204,96,Government,secondary
Mckinnon Primary School,ORMOND,VIC,3204,99,Government,primary
Yesodei HaTorah College - Brighton Campus,ORMOND,VIC,3204,,Private,primary
Youth2Industry College,SOUTH MELBOURNE,VIC,3205,,Private,secondary
Montague Continuing Education Centre,SOUTH MELBOURNE,VIC,3205,,Government,secondary
Galilee Regional Catholic Primary School,SOUTH MELBOURNE,VIC,3205,91,Catholic,primary
Albert Park Primary School,ALBERT PARK,VIC,3206,95,Government,primary
Albert Park College,ALBERT PARK,VIC,3206,94,Government,secondary
SEDA College (Victoria) - Sailing - Albert Park,ALBERT PARK,VIC,3206,,Private,secondary
South Melbourne Park Primary School,ALBERT PARK,VIC,3206,94,Government,primary
Middle Park Primary School,MIDDLE PARK,VIC,3206,94,Government,primary
Port Melbourne Primary School,PORT MELBOURNE,VIC,3207,91,Government,primary
Port Phillip Specialist School,PORT MELBOURNE,VIC,3207,,Government,primary
Port Phillip Specialist School,PORT MELBOURNE,VIC,3207,,Government,secondary
Port Melbourne Secondary College,PORT MELBOURNE,VIC,3207,,Government,secondary
Little River Primary School,LITTLE RIVER,VIC,3211,,Government,primary
St Anthony's School,LARA,VIC,3212,,Catholic,primary
Lara Secondary College,LARA,VIC,3212,,Government,secondary
Lara Primary School,LARA,VIC,3212,,Government,primary
Geelong Baptist College,LOVELY BANKS,VIC,3213,,Private,secondary
OneSchool Global Vic - Geelong Campus,LOVELY BANKS,VIC,3213,,Private,primary
OneSchool Global Vic - Geelong Campus,LOVELY BANKS,VIC,3213,,Private,secondary
Geelong Baptist College,LOVELY BANKS,VIC,3213,,Private,primary
Anakie Primary School,ANAKIE,VIC,3213,,Government,primary
Rollins Primary School-Batesford Campus,BATESFORD,VIC,3213,,Government,primary
Kardinia International College - Kardinia Grove Campus,MOORABOOL,VIC,3213,,Private,secondary
